orderdate,productkey,customerkey,orderquantity,unitprice,extendedamount,productcost,salesamount,year,order_month,order_year
2004-04-21,477,20098,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-21,477,18119,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-21,477,17382,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-21,477,16719,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-22,477,20535,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-23,477,17394,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-25,477,16759,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-27,477,16842,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-28,477,12205,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-28,477,18421,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-29,477,16843,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-30,477,22010,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-05-01,477,18076,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-06,477,18779,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-07,477,18456,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-07,477,20083,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-07,477,16766,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-08,477,17490,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-08,477,17469,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-08,477,17146,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-09,477,23275,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-11,477,18536,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-11,477,18340,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-12,477,17117,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-12,477,18662,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-15,477,17173,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-15,477,16903,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-16,477,17145,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-18,477,21286,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-18,477,17164,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-19,477,18455,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-20,477,17684,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-21,477,18101,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-21,477,19221,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-21,477,16718,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-25,477,18230,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-26,477,17517,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-27,477,16795,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-27,477,16813,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-28,477,21398,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-28,477,16787,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-29,477,23190,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-30,477,20523,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-05-30,477,16891,1,4.99,4.99,1.8663,4.99,2004,5,2004
2004-06-03,477,16988,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-05,477,16379,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-07,477,21705,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-08,477,21262,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-08,477,18550,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-09,477,16806,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-10,477,16748,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-11,477,16917,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-12,477,16648,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-14,477,21774,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-18,477,17178,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-19,477,19210,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-19,477,16966,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-20,477,21462,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-21,477,21779,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-21,477,20100,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-22,477,21731,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-22,477,16853,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-24,477,21591,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-25,477,17472,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-27,477,20695,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-27,477,19404,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-28,477,17523,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-29,477,21735,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-06-29,477,18434,1,4.99,4.99,1.8663,4.99,2004,6,2004
2004-07-05,477,16240,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-06,477,18507,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-06,477,18107,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-07,477,16816,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-08,477,17549,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-08,477,16883,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-10,477,21341,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-11,477,18555,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-13,477,16815,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-15,477,17673,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-15,477,18341,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-16,477,16862,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-17,477,22357,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-17,477,18385,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-17,477,18114,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-17,477,16233,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-19,477,18419,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-23,477,18073,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-23,477,16768,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-24,477,18505,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-26,477,18070,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-26,477,17697,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-26,477,16245,1,4.99,4.99,1.8663,4.99,2004,7,2004
2004-07-29,477,17584,1,4.99,4.99,1.8663,4.99,2004,7,2004
2003-07-09,477,18958,1,4.99,4.99,1.8663,4.99,2003,7,2003
2003-07-14,477,21469,1,4.99,4.99,1.8663,4.99,2003,7,2003
2003-07-15,477,11281,1,4.99,4.99,1.8663,4.99,2003,7,2003
2003-07-16,477,24413,1,4.99,4.99,1.8663,4.99,2003,7,2003
2003-07-24,477,25085,1,4.99,4.99,1.8663,4.99,2003,7,2003
2003-07-24,477,24414,1,4.99,4.99,1.8663,4.99,2003,7,2003
2003-08-01,477,14329,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-02,477,20537,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-02,477,18454,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-06,477,22338,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-08,477,21609,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-11,477,11683,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-11,477,24523,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-12,477,20391,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-13,477,22052,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-14,477,22055,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-15,477,21442,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-18,477,16223,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-19,477,21459,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-20,477,20779,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-21,477,23252,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-23,477,21787,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-24,477,21720,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-24,477,18346,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-24,477,16887,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-24,477,11837,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-25,477,11298,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-27,477,21496,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-27,477,21350,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-27,477,18477,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-27,477,16377,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-28,477,22734,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-28,477,20439,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-30,477,16224,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-09-03,477,23115,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-04,477,12983,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-06,477,21472,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-07,477,20636,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-08,477,12152,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-09,477,12186,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-10,477,22745,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-13,477,21688,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-13,477,28842,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-17,477,16896,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-18,477,21698,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-21,477,22023,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-23,477,23272,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-24,477,20413,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-29,477,16340,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-30,477,20766,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-10-01,477,21307,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-02,477,22034,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-02,477,21775,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-03,477,21802,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-04,477,21750,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-04,477,24802,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-04,477,19986,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-05,477,13759,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-08,477,21780,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-08,477,13068,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-09,477,25015,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-09,477,24808,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-10,477,20348,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-10,477,22089,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-11,477,21632,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-14,477,22068,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-14,477,20789,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-15,477,20676,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-15,477,22875,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-16,477,22215,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-16,477,22879,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-19,477,20503,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-20,477,22108,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-21,477,21261,1,4.99,4.99,1.8663,4.99,2003,10,2003
